O,O,O,O,O,O,O,O,O,O,O,O,W,W,D,W,,H,,,,,,:32-141,,W,H,,,,,,W,O,O,O,W,,,,,,,W,D,W,H,,,,: Restrooms,,H,: To Hockfield Court,E,O,O,W,W,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,W,W,,,H,W,W,,:32-123,,,,W,D,W,,,,,,,W,O,O,O,W,,,,,,,,,W,W,W,W,E,W,W,W,W,O,O,O,O,W,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,W,,,,,,W,D,W,,,,W,,,,,,,,,W,O,O,O,W,,,,,,,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,W,,,,,,,,W,,,,,W,,,,,,,,W,O,O,O,W,,,,,,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,W,,,,,,,,,W,,,,,,W,,,,,,,W,O,O,O,W,,,,,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,W,W,,,,,,,,W,,,,,,W,O,W,,,T,T,,W,O,O,O,W,,T,T,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,W,,,,,,,,H,W,,,,,,W,O,O,W,H,,,W,O,O,O,O,O,W,,,H,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,W,W,,,,,,,,W,,,,,,,W,O,O,O,W,W,W,O,O,O,O,O,O,W,W,W,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,W,,,T,,,,,,W,,,,,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,W,,,,T,,,,W,,,,,,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,W,W,H,,,,,W,W,,,,,,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,W,W,H,,W,W,W,W,E,W,H,: To Alum Gym,,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,W,W,O,O,O,O,O,O,W,W,W,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
